"NUMBER","DRIVER_NUMBER","LAP_NUMBER","LAP_TIME","S1","S2","S3","KPH","ELAPSED","CLASS","TEAM","AVG_TRACK_TEMP","YEAR","TIRE_TYPE"
1,1,1,93.837,34.89,34.465,24.482,138.2,93.837,"Pro","Wayne Taylor Racing",110.78,2021,"Pirelli"
1,1,2,147.894,56.343,56.611,34.94,87.7,241.731,"Pro","Wayne Taylor Racing",110.78,2021,"Pirelli"
1,1,3,149.963,56.293,56.737,36.933,86.5,391.694,"Pro","Wayne Taylor Racing",110.78,2021,"Pirelli"
1,1,4,148.385,56.937,55.885,35.563,87.4,540.079,"Pro","Wayne Taylor Racing",110.78,2021,"Pirelli"
1,1,5,157.042,66.231,65.663,25.148,82.6,697.121,"Pro","Wayne Taylor Racing",110.78,2021,"Pirelli"
1,1,6,87.634,33.035,34.113,20.486,148,784.755,"Pro","Wayne Taylor Racing",110.78,2021,"Pirelli"
1,1,7,86.951,32.639,34,20.312,149.1,871.706,"Pro","Wayne Taylor Racing",110.78,2021,"Pirelli"
1,1,8,87.086,32.613,34.084,20.389,148.9,958.792,"Pro","Wayne Taylor Racing",110.78,2021,"Pirelli"
1,1,9,86.514,32.254,34.023,20.237,149.9,1045.306,"Pro","Wayne Taylor Racing",110.78,2021,"Pirelli"
1,1,10,86.458,32.307,33.903,20.248,150,1131.764,"Pro","Wayne Taylor Racing",110.78,2021,"Pirelli"
1,1,11,160.918,32.431,34.1,94.387,80.6,1292.682,"Pro","Wayne Taylor Racing",110.78,2021,"Pirelli"
1,2,12,93.398,38.68,34.152,20.566,138.8,1386.08,"Pro","Wayne Taylor Racing",110.78,2021,"Pirelli"
1,2,13,86.849,32.603,33.944,20.302,149.3,1472.929,"Pro","Wayne Taylor Racing",110.78,2021,"Pirelli"
1,2,14,87.044,32.678,33.973,20.393,149,1559.973,"Pro","Wayne Taylor Racing",110.78,2021,"Pirelli"
1,2,15,87.646,32.808,34.401,20.437,147.9,1647.619,"Pro","Wayne Taylor Racing",110.78,2021,"Pirelli"
1,2,16,87.092,32.593,34.049,20.45,148.9,1734.711,"Pro","Wayne Taylor Racing",110.78,2021,"Pirelli"
1,2,17,87.483,32.732,34.326,20.425,148.2,1822.194,"Pro","Wayne Taylor Racing",110.78,2021,"Pirelli"
1,2,18,87.553,32.745,34.109,20.699,148.1,1909.747,"Pro","Wayne Taylor Racing",110.78,2021,"Pirelli"
1,2,19,88.741,33.634,34.535,20.572,146.1,1998.488,"Pro","Wayne Taylor Racing",110.78,2021,"Pirelli"
1,2,20,87.469,32.843,34.135,20.491,148.2,2085.957,"Pro","Wayne Taylor Racing",110.78,2021,"Pirelli"
1,2,21,87.424,32.865,34.031,20.528,148.3,2173.381,"Pro","Wayne Taylor Racing",110.78,2021,"Pirelli"
1,2,22,87.617,32.945,34.142,20.53,148,2260.998,"Pro","Wayne Taylor Racing",110.78,2021,"Pirelli"
1,2,23,87.583,32.95,34.176,20.457,148,2348.581,"Pro","Wayne Taylor Racing",110.78,2021,"Pirelli"
1,2,24,88.042,32.951,34.257,20.834,147.3,2436.623,"Pro","Wayne Taylor Racing",110.78,2021,"Pirelli"
1,2,25,87.928,33.259,34.096,20.573,147.5,2524.551,"Pro","Wayne Taylor Racing",110.78,2021,"Pirelli"
1,2,26,88.439,33.405,34.394,20.64,146.6,2612.99,"Pro","Wayne Taylor Racing",110.78,2021,"Pirelli"
1,2,27,88.083,33.204,34.293,20.586,147.2,2701.073,"Pro","Wayne Taylor Racing",110.78,2021,"Pirelli"
1,2,28,89.414,33.157,35.659,20.598,145,2790.487,"Pro","Wayne Taylor Racing",110.78,2021,"Pirelli"
1,2,29,88.836,33.279,34.579,20.978,146,2879.323,"Pro","Wayne Taylor Racing",110.78,2021,"Pirelli"
1,2,30,91.181,34.407,35.231,21.543,142.2,2970.504,"Pro","Wayne Taylor Racing",110.78,2021,"Pirelli"
1,2,31,90.127,33.698,35.433,20.996,143.9,3060.631,"Pro","Wayne Taylor Racing",110.78,2021,"Pirelli"
16,2,1,94.629,35.211,34.804,24.614,137,94.629,"Pro","Change Racing",110.78,2021,"Pirelli"
16,2,2,148.265,56.295,56.489,35.481,87.5,242.894,"Pro","Change Racing",110.78,2021,"Pirelli"
16,2,3,149.779,55.963,56.596,37.22,86.6,392.673,"Pro","Change Racing",110.78,2021,"Pirelli"
16,2,4,148.816,57.704,55.351,35.761,87.1,541.489,"Pro","Change Racing",110.78,2021,"Pirelli"
16,2,5,156.143,65.953,65.124,25.066,83,697.632,"Pro","Change Racing",110.78,2021,"Pirelli"
16,2,6,87.798,32.95,34.383,20.465,147.7,785.43,"Pro","Change Racing",110.78,2021,"Pirelli"
16,2,7,86.999,32.558,34.093,20.348,149,872.429,"Pro","Change Racing",110.78,2021,"Pirelli"
16,2,8,86.892,32.401,34.128,20.363,149.2,959.321,"Pro","Change Racing",110.78,2021,"Pirelli"
16,2,9,86.519,32.371,33.879,20.269,149.9,1045.84,"Pro","Change Racing",110.78,2021,"Pirelli"
16,2,10,86.445,32.271,33.886,20.288,150,1132.285,"Pro","Change Racing",110.78,2021,"Pirelli"
16,2,11,86.954,32.563,34.102,20.289,149.1,1219.239,"Pro","Change Racing",110.78,2021,"Pirelli"
16,2,12,86.489,32.225,33.866,20.398,149.9,1305.728,"Pro","Change Racing",110.78,2021,"Pirelli"
16,2,13,161.296,32.501,33.939,94.856,80.4,1467.024,"Pro","Change Racing",110.78,2021,"Pirelli"
16,1,14,91.749,37.282,34.179,20.288,141.3,1558.773,"Pro","Change Racing",110.78,2021,"Pirelli"
16,1,15,87.364,32.926,34.043,20.395,148.4,1646.137,"Pro","Change Racing",110.78,2021,"Pirelli"
16,1,16,87.039,32.549,34.021,20.469,149,1733.176,"Pro","Change Racing",110.78,2021,"Pirelli"
16,1,17,87.278,32.801,33.98,20.497,148.6,1820.454,"Pro","Change Racing",110.78,2021,"Pirelli"
16,1,18,87.997,32.75,34.32,20.927,147.3,1908.451,"Pro","Change Racing",110.78,2021,"Pirelli"
16,1,19,87.312,32.783,34.046,20.483,148.5,1995.763,"Pro","Change Racing",110.78,2021,"Pirelli"
16,1,20,87.052,32.66,34.004,20.388,148.9,2082.815,"Pro","Change Racing",110.78,2021,"Pirelli"
16,1,21,86.907,32.723,33.816,20.368,149.2,2169.722,"Pro","Change Racing",110.78,2021,"Pirelli"
16,1,22,87.475,32.757,34.225,20.493,148.2,2257.197,"Pro","Change Racing",110.78,2021,"Pirelli"
16,1,23,87.581,32.875,34.225,20.481,148,2344.778,"Pro","Change Racing",110.78,2021,"Pirelli"
16,1,24,87.982,32.851,34.552,20.579,147.4,2432.76,"Pro","Change Racing",110.78,2021,"Pirelli"
16,1,25,87.768,32.897,34.26,20.611,147.7,2520.528,"Pro","Change Racing",110.78,2021,"Pirelli"
16,1,26,87.92,33.158,34.113,20.649,147.5,2608.448,"Pro","Change Racing",110.78,2021,"Pirelli"
16,1,27,88.173,33.238,34.377,20.558,147.1,2696.621,"Pro","Change Racing",110.78,2021,"Pirelli"
16,1,28,89.113,33.439,34.871,20.803,145.5,2785.734,"Pro","Change Racing",110.78,2021,"Pirelli"
16,1,29,88.285,33.248,34.304,20.733,146.9,2874.019,"Pro","Change Racing",110.78,2021,"Pirelli"
16,1,30,88.24,33.156,34.496,20.588,146.9,2962.259,"Pro","Change Racing",110.78,2021,"Pirelli"
16,1,31,88.541,33.265,34.504,20.772,146.4,3050.8,"Pro","Change Racing",110.78,2021,"Pirelli"
22,1,1,95.141,35.848,34.749,24.544,136.3,95.141,"Pro","Dream Racing Motorsport",110.78,2021,"Pirelli"
22,1,2,148.2,56.324,56.445,35.431,87.5,243.341,"Pro","Dream Racing Motorsport",110.78,2021,"Pirelli"
22,1,3,149.982,56.126,56.535,37.321,86.5,393.323,"Pro","Dream Racing Motorsport",110.78,2021,"Pirelli"
22,1,4,148.861,57.594,55.417,35.85,87.1,542.184,"Pro","Dream Racing Motorsport",110.78,2021,"Pirelli"
22,1,5,155.862,65.977,64.885,25,83.2,698.046,"Pro","Dream Racing Motorsport",110.78,2021,"Pirelli"
22,1,6,88.183,33.036,34.692,20.455,147,786.229,"Pro","Dream Racing Motorsport",110.78,2021,"Pirelli"
22,1,7,88.444,32.759,35.133,20.552,146.6,874.673,"Pro","Dream Racing Motorsport",110.78,2021,"Pirelli"
22,1,8,99.848,32.36,34.156,33.332,129.9,974.521,"Pro","Dream Racing Motorsport",110.78,2021,"Pirelli"
